method,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,profit_factor,trading_days
Single: momentum,0.0857,0.0092,0.0687,0.1343,-0.1563,0.059,0.5078,0.9824,2256
Single: combined_momentum,0.2255,0.023,0.0531,0.4328,-0.1227,0.1873,0.5126,1.0204,2256
Single: macd,-0.0915,-0.0107,0.0443,-0.2406,-0.1791,-0.0595,0.4816,1.011,2256
Single: ma_crossover,0.5474,0.05,0.0552,0.9058,-0.0947,0.5277,0.5242,1.0246,2256
Single: ema_crossover,0.3503,0.0341,0.045,0.7588,-0.0833,0.4094,0.5335,0.9951,2256
Single: donchian,0.1517,0.0159,0.0508,0.3128,-0.0666,0.2389,0.5095,1.0105,2256
Single: bollinger,0.07,0.0076,0.0476,0.1593,-0.0866,0.0876,0.4993,1.0236,2256
Single: keltner,0.0771,0.0083,0.0499,0.1668,-0.1074,0.0775,0.502,1.0143,2256
Single: linreg,0.17,0.0177,0.0366,0.4835,-0.0765,0.2311,0.5091,0.9778,2256
Single: adx,0.1198,0.0127,0.0371,0.3432,-0.0604,0.2106,0.502,1.0462,2256
Equal Weight,0.1777,0.0184,0.0418,0.4414,-0.0633,0.2914,0.506,1.0503,2256
Inverse Vol,0.1678,0.0175,0.0401,0.4359,-0.0599,0.2918,0.5055,1.0516,2256
Low Correlation,0.1792,0.0186,0.0412,0.4508,-0.0613,0.303,0.5051,1.056,2256
