signal,product,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,profit_factor,trading_days
momentum,ES,0.0825,0.0089,0.0292,0.3043,-0.0719,0.1237,0.5215,0.9552,2256
momentum,CL,0.0631,0.0069,0.0283,0.2425,-0.0761,0.0902,0.4938,1.0555,2253
momentum,GC,-0.0588,-0.0079,0.0444,-0.1767,-0.2225,-0.0353,0.4804,1.0311,1937
momentum,ZN,-0.0011,-0.0001,0.0301,-0.0042,-0.0961,-0.0013,0.4769,1.0812,2226
momentum,PORTFOLIO,0.0857,0.0092,0.0687,0.1343,-0.1563,0.059,0.5078,0.9824,2256
combined_momentum,ES,0.0606,0.0066,0.024,0.2742,-0.0666,0.0989,0.5157,0.9738,2256
combined_momentum,CL,0.0192,0.0021,0.0233,0.0915,-0.0947,0.0225,0.4822,1.0747,2253
combined_momentum,GC,0.1169,0.0145,0.0338,0.4286,-0.0927,0.1563,0.5,1.0705,1937
combined_momentum,ZN,0.0288,0.0032,0.0238,0.1351,-0.049,0.0658,0.4652,1.1588,2226
combined_momentum,PORTFOLIO,0.2255,0.023,0.0531,0.4328,-0.1227,0.1873,0.5126,1.0204,2256
macd,ES,-0.0266,-0.003,0.0183,-0.1647,-0.0589,-0.0511,0.4967,0.96,2256
macd,CL,-0.0518,-0.0059,0.0176,-0.337,-0.0783,-0.0757,0.4534,1.0988,2253
macd,GC,0.0121,0.0016,0.0234,0.0667,-0.0509,0.0307,0.4912,1.0358,1937
macd,ZN,-0.0251,-0.0029,0.016,-0.1798,-0.0616,-0.0467,0.4688,1.0745,2226
macd,PORTFOLIO,-0.0915,-0.0107,0.0443,-0.2406,-0.1791,-0.0595,0.4816,1.011,2256
ma_crossover,ES,0.1403,0.0148,0.0302,0.4898,-0.0401,0.3686,0.5104,1.006,2256
ma_crossover,CL,0.1581,0.0166,0.027,0.6138,-0.0507,0.3264,0.5036,1.056,2253
ma_crossover,GC,0.1534,0.0187,0.0383,0.4893,-0.0894,0.2095,0.5,1.044,1937
ma_crossover,ZN,0.0956,0.0104,0.0274,0.379,-0.0608,0.171,0.4822,1.1037,2226
ma_crossover,PORTFOLIO,0.5474,0.05,0.0552,0.9058,-0.0947,0.5277,0.5242,1.0246,2256
ema_crossover,ES,0.0685,0.0074,0.0229,0.3247,-0.0468,0.1587,0.5215,0.9646,2256
ema_crossover,CL,0.0591,0.0064,0.0209,0.3087,-0.056,0.1151,0.4969,1.0667,2253
ema_crossover,GC,0.1276,0.0157,0.031,0.5079,-0.1028,0.1531,0.516,1.0305,1937
ema_crossover,ZN,0.0951,0.0103,0.0199,0.5197,-0.0372,0.2781,0.4867,1.1579,2226
ema_crossover,PORTFOLIO,0.3503,0.0341,0.045,0.7588,-0.0833,0.4094,0.5335,0.9951,2256
donchian,ES,0.0194,0.0022,0.023,0.0935,-0.0521,0.0412,0.5113,0.9605,2256
donchian,CL,0.0242,0.0027,0.0219,0.1224,-0.075,0.0357,0.4916,1.0472,2253
donchian,GC,0.0923,0.0116,0.0319,0.3626,-0.0646,0.1787,0.4943,1.0897,1937
donchian,ZN,0.0158,0.0018,0.0222,0.08,-0.062,0.0287,0.4813,1.0802,2226
donchian,PORTFOLIO,0.1517,0.0159,0.0508,0.3128,-0.0666,0.2389,0.5095,1.0105,2256
bollinger,ES,-0.0114,-0.0013,0.0205,-0.0622,-0.0522,-0.0245,0.5149,0.9163,2256
bollinger,CL,0.0013,0.0001,0.0201,0.007,-0.0708,0.002,0.4871,1.0404,2253
bollinger,GC,0.065,0.0082,0.0283,0.2905,-0.0699,0.1178,0.4886,1.1003,1937
bollinger,ZN,0.0151,0.0017,0.0191,0.0892,-0.0513,0.0332,0.4827,1.0766,2226
bollinger,PORTFOLIO,0.07,0.0076,0.0476,0.1593,-0.0866,0.0876,0.4993,1.0236,2256
keltner,ES,-0.0183,-0.0021,0.0211,-0.0979,-0.066,-0.0313,0.5153,0.9076,2256
keltner,CL,0.0204,0.0023,0.0196,0.1153,-0.0657,0.0345,0.4893,1.0575,2253
keltner,GC,0.0641,0.0081,0.0326,0.2492,-0.0983,0.0826,0.4824,1.1177,1937
keltner,ZN,0.0108,0.0012,0.0191,0.0636,-0.047,0.0259,0.4827,1.0714,2226
keltner,PORTFOLIO,0.0771,0.0083,0.0499,0.1668,-0.1074,0.0775,0.502,1.0143,2256
linreg,ES,0.0257,0.0028,0.0172,0.1652,-0.042,0.0674,0.4918,0.9908,2256
linreg,CL,0.0368,0.004,0.0148,0.2728,-0.0365,0.1108,0.4782,1.0754,2253
linreg,GC,0.0857,0.0108,0.0241,0.4455,-0.0853,0.126,0.4664,1.1738,1937
linreg,ZN,0.0219,0.0025,0.0156,0.1575,-0.0418,0.0587,0.4472,1.1909,2226
linreg,PORTFOLIO,0.17,0.0177,0.0366,0.4835,-0.0765,0.2311,0.5091,0.9778,2256
adx,ES,-0.0375,-0.0043,0.0162,-0.2629,-0.077,-0.0553,0.4984,0.9416,2256
adx,CL,0.0292,0.0032,0.0151,0.213,-0.03,0.1075,0.4885,1.077,2253
adx,GC,0.065,0.0082,0.0232,0.355,-0.0527,0.1561,0.4974,1.0702,1937
adx,ZN,0.0631,0.007,0.0166,0.4196,-0.0262,0.2658,0.4908,1.1077,2226
adx,PORTFOLIO,0.1198,0.0127,0.0371,0.3432,-0.0604,0.2106,0.502,1.0462,2256
