symbol,sector,industry
A,Healthcare,Diagnostics & Research
AAPL,Technology,Consumer Electronics
ABBV,Healthcare,Drug Manufacturers - General
ABNB,Consumer Cyclical,Travel Services
ABT,Healthcare,Medical Devices
ACGL,Financial Services,Insurance - Diversified
ACN,Technology,Information Technology Services
ADBE,Technology,Software - Application
ADI,Technology,Semiconductors
ADM,Consumer Defensive,Farm Products
ADP,Technology,Software - Application
ADSK,Technology,Software - Application
AEE,Utilities,Utilities - Regulated Electric
AEP,Utilities,Utilities - Regulated Electric
AES,Utilities,Utilities - Diversified
AFL,Financial Services,Insurance - Life
AIG,Financial Services,Insurance - Diversified
AIZ,Financial Services,Insurance - Property & Casualty
AJG,Financial Services,Insurance Brokers
AKAM,Technology,Software - Infrastructure
ALB,Basic Materials,Specialty Chemicals
ALGN,Healthcare,Medical Instruments & Supplies
ALL,Financial Services,Insurance - Property & Casualty
ALLE,Industrials,Security & Protection Services
AMAT,Technology,Semiconductor Equipment & Materials
AMCR,Consumer Cyclical,Packaging & Containers
AMD,Technology,Semiconductors
AME,Industrials,Specialty Industrial Machinery
AMGN,Healthcare,Drug Manufacturers - General
AMP,Financial Services,Asset Management
AMT,Real Estate,REIT - Specialty
AMZN,Consumer Cyclical,Internet Retail
ANET,Technology,Computer Hardware
AON,Financial Services,Insurance Brokers
AOS,Industrials,Specialty Industrial Machinery
APA,Energy,Oil & Gas E&P
APD,Basic Materials,Specialty Chemicals
APH,Technology,Electronic Components
APO,Financial Services,Asset Management
APP,Communication Services,Advertising Agencies
APTV,Consumer Cyclical,Auto Parts
ARE,Real Estate,REIT - Office
ARES,Financial Services,Asset Management
ATO,Utilities,Utilities - Regulated Gas
AVB,Real Estate,REIT - Residential
AVGO,Technology,Semiconductors
AVY,Consumer Cyclical,Packaging & Containers
AWK,Utilities,Utilities - Regulated Water
AXON,Industrials,Aerospace & Defense
AXP,Financial Services,Credit Services
AZO,Consumer Cyclical,Auto Parts
BA,Industrials,Aerospace & Defense
BAC,Financial Services,Banks - Diversified
BALL,Consumer Cyclical,Packaging & Containers
BAX,Healthcare,Medical Instruments & Supplies
BBY,Consumer Cyclical,Specialty Retail
BDX,Healthcare,Medical Instruments & Supplies
BEN,Financial Services,Asset Management
BF.B,Consumer Defensive,Beverages - Wineries & Distilleries
BG,Consumer Defensive,Farm Products
BIIB,Healthcare,Drug Manufacturers - General
BK,Financial Services,Banks - Diversified
BKNG,Consumer Cyclical,Travel Services
BKR,Energy,Oil & Gas Equipment & Services
BLDR,Industrials,Building Products & Equipment
BLK,Financial Services,Asset Management
BMY,Healthcare,Drug Manufacturers - General
BR,Technology,Information Technology Services
BRK.B,Financial Services,Insurance - Diversified
BRO,Financial Services,Insurance Brokers
BSX,Healthcare,Medical Devices
BX,Financial Services,Asset Management
BXP,Real Estate,REIT - Office
C,Financial Services,Banks - Diversified
CAG,Consumer Defensive,Packaged Foods
CAH,Healthcare,Medical Distribution
CARR,Industrials,Building Products & Equipment
CASY,Consumer Cyclical,Specialty Retail
CAT,Industrials,Farm & Heavy Construction Machinery
CB,Financial Services,Insurance - Property & Casualty
CBOE,Financial Services,Financial Data & Stock Exchanges
CBRE,Real Estate,Real Estate Services
CCI,Real Estate,REIT - Specialty
CCL,Consumer Cyclical,Travel Services
CDNS,Technology,Software - Application
CDW,Technology,Information Technology Services
CEG,Utilities,Utilities - Independent Power Producers
CF,Basic Materials,Agricultural Inputs
CFG,Financial Services,Banks - Regional
CHD,Consumer Defensive,Household & Personal Products
CHRW,Industrials,Integrated Freight & Logistics
CHTR,Communication Services,Telecom Services
CI,Healthcare,Healthcare Plans
CIEN,Technology,Communication Equipment
CINF,Financial Services,Insurance - Property & Casualty
CL,Consumer Defensive,Household & Personal Products
CLX,Consumer Defensive,Household & Personal Products
CMCSA,Communication Services,Telecom Services
CME,Financial Services,Financial Data & Stock Exchanges
CMG,Consumer Cyclical,Restaurants
CMI,Industrials,Specialty Industrial Machinery
CMS,Utilities,Utilities - Regulated Electric
CNC,Healthcare,Healthcare Plans
CNP,Utilities,Utilities - Regulated Electric
COF,Financial Services,Credit Services
COHR,Technology,Scientific & Technical Instruments
COIN,Financial Services,Financial Data & Stock Exchanges
COO,Healthcare,Medical Instruments & Supplies
COP,Energy,Oil & Gas E&P
COR,Healthcare,Medical Distribution
COST,Consumer Defensive,Discount Stores
CPAY,Technology,Software - Infrastructure
CPB,Consumer Defensive,Packaged Foods
CPRT,Industrials,Specialty Business Services
CPT,Real Estate,REIT - Residential
CRH,Basic Materials,Building Materials
CRL,Healthcare,Diagnostics & Research
CRM,Technology,Software - Application
CRWD,Technology,Software - Infrastructure
CSCO,Technology,Communication Equipment
CSGP,Real Estate,Real Estate Services
CSX,Industrials,Railroads
CTAS,Industrials,Specialty Business Services
CTRA,Energy,Oil & Gas E&P
CTSH,Technology,Information Technology Services
CTVA,Basic Materials,Agricultural Inputs
CVNA,Consumer Cyclical,Auto & Truck Dealerships
CVS,Healthcare,Healthcare Plans
